Scenario - Touch Movie Choice
Logfile written - 06/14/2016 09:55:31

Trial	Event Type	Code	x(num)	y(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
431	Picture	start			11978951	0	1	500	1	0	next	other	0
432	Picture	stim			12003941	0	1	167	1	0	next	other	0
433	Picture	start			12034096	0	1	500	1	0	next	other	0
434	Picture	stim			12059087	0	1	167	1	0	next	other	0
435	Picture	start			12089242	0	1	500	1	0	next	other	0
436	Picture	stim			12114232	0	1	167	1	0	next	other	0
437	Picture	start			12145887	0	1	500	1	0	next	other	0
438	Picture	stim			12170878	0	1	167	1	0	next	other	0
439	Picture	start			12201199	0	1	500	1	0	next	other	0
440	Picture	stim			12226190	0	1	167	1	0	next	other	0
441	Picture	start			12257178	0	1	500	1	0	next	other	0
442	Picture	stim			12282169	0	1	167	1	0	next	other	0
443	Picture	start			12313324	0	1	500	1	0	next	other	0
444	Picture	stim			12338314	0	1	167	1	0	next	other	0
445	Picture	start			12368636	0	1	500	1	0	next	other	0
446	Picture	stim			12393626	0	1	167	1	0	next	other	0
447	Picture	start			12424614	0	1	500	2	0	next	other	0
448	Picture	stim			12449605	0	1	167	1	0	next	other	0
449	Picture	start			12480593	0	1	500	1	0	next	other	0
450	Picture	stim			12505584	0	1	167	1	0	next	other	0
451	Picture	start			12535906	0	1	500	1	0	next	other	0
452	Picture	stim			12560896	0	1	167	1	0	next	other	0
453	Picture	start			12591051	0	1	500	1	0	next	other	0
454	Picture	stim			12616042	0	1	167	1	0	next	other	0
455	Picture	start			12647030	0	1	500	1	0	next	other	0
456	Picture	stim			12672021	0	1	167	1	0	next	other	0
457	Picture	start			12703176	0	1	500	1	0	next	other	0
458	Picture	stim			12728166	0	1	156	16	0	next	other	0
459	Picture	start			12758321	0	1	500	1	0	next	other	0
460	Picture	stim			12783312	0	1	167	1	0	next	other	0
461	Picture	start			12814300	0	1	500	1	0	next	other	0
462	Picture	stim			12839291	0	1	166	1	0	next	other	0
462	Quit				12860339	21048	NA
